#! FIELDS Step Time nCV nNodes
 500000 500000.000000 2 60
#! FIELDS node cv.x cv.y z_avg_cv.x z_avg_cv.y wsum
 0 1.757895 -1.578947 0.000000 0.000000 0.000000
 1 1.700000 -1.500000 0.000000 0.000000 0.000000
 2 1.642105 -1.421053 0.000000 0.000000 0.000000
 3 1.584211 -1.342105 0.000000 0.000000 0.000000
 4 1.526316 -1.263158 0.000000 0.000000 0.000000
 5 1.468421 -1.184211 0.000000 0.000000 0.000000
 6 1.410526 -1.105263 0.000000 0.000000 0.000000
 7 1.352632 -1.026316 0.000000 0.000000 0.000000
 8 1.294737 -0.947368 0.000000 0.000000 0.000000
 9 1.236842 -0.868421 0.000000 0.000000 0.000000
 10 1.178947 -0.789474 0.000000 0.000000 0.000000
 11 1.121053 -0.710526 0.000000 0.000000 0.000000
 12 1.063158 -0.631579 0.000000 0.000000 0.000000
 13 1.005263 -0.552632 0.000000 0.000000 0.000000
 14 0.947368 -0.473684 0.000000 0.000000 0.000000
 15 0.889474 -0.394737 0.000000 0.000000 0.000000
 16 0.831579 -0.315789 57.297000 42.017800 284.029129
 17 0.773684 -0.236842 1217.823359 893.070463 7690.204271
 18 0.715789 -0.157895 3207.876469 2352.442744 23266.004979
 19 0.657895 -0.078947 2521.793119 1849.314954 25495.542699
 20 0.600000 0.000000 1033.060916 757.578005 31551.004261
 21 0.542105 0.078947 -409.207609 -300.085580 19586.268671
 22 0.484211 0.157895 -1348.917369 -989.206071 16639.200121
 23 0.426316 0.236842 -1722.168724 -1262.923731 15148.470178
 24 0.368421 0.315789 -1692.569090 -1241.217333 13620.576417
 25 0.310526 0.394737 -1993.471224 -1461.878898 16498.629013
 26 0.252632 0.473684 -2409.244129 -1766.779028 18631.438559
 27 0.194737 0.552632 -2914.551785 -2137.337976 18629.429835
 28 0.136842 0.631579 -3972.382927 -2913.080813 18310.357212
 29 0.078947 0.710526 -5309.386434 -3893.550052 18315.994107
 30 0.021053 0.789474 -6058.663563 -4443.019946 16790.137291
 31 -0.036842 0.868421 -5975.031914 -4381.690070 13618.790420
 32 -0.094737 0.947368 -6994.653634 -5129.412665 13731.054659
 33 -0.152632 1.026316 -7331.595241 -5376.503177 12858.262751
 34 -0.210526 1.105263 -8063.752802 -5913.418721 12907.171104
 35 -0.268421 1.184211 -8258.962427 -6056.572446 13399.897480
 36 -0.326316 1.263158 -5817.348700 -4266.055714 12097.508330
 37 -0.384211 1.342105 -3686.401643 -2703.361205 12326.489317
 38 -0.442105 1.421053 -3833.174845 -2810.994886 28283.542159
 39 -0.500000 1.500000 -3850.125766 -2823.425562 59002.448449
 40 -0.557895 1.578947 -100.574492 -73.754627 22786.173215
 41 -0.615789 1.657895 560.878083 411.310594 12918.855493
 42 -0.673684 1.736842 302.983731 222.188069 7183.313643
 43 -0.731579 1.815789 -1079.662877 -791.752776 5999.642210
 44 -0.789474 1.894737 -2882.769919 -2114.031274 6887.223371
 45 -0.847368 1.973684 -2644.714594 -1939.457369 4670.365607
 46 -0.905263 2.052632 -503.344349 -369.119189 859.548917
 47 -0.963158 2.131579 -7.631507 -5.596438 12.426133
 48 -1.021053 2.210526 0.000000 0.000000 0.000000
 49 -1.078947 2.289474 0.000000 0.000000 0.000000
 50 -1.136842 2.368421 0.000000 0.000000 0.000000
 51 -1.194737 2.447368 0.000000 0.000000 0.000000
 52 -1.252632 2.526316 0.000000 0.000000 0.000000
 53 -1.310526 2.605263 0.000000 0.000000 0.000000
 54 -1.368421 2.684211 0.000000 0.000000 0.000000
 55 -1.426316 2.763158 0.000000 0.000000 0.000000
 56 -1.484211 2.842105 0.000000 0.000000 0.000000
 57 -1.542105 2.921053 0.000000 0.000000 0.000000
 58 -1.600000 3.000000 0.000000 0.000000 0.000000
 59 -1.657895 3.078947 0.000000 0.000000 0.000000
#! FIELDS


